Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Methodology,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",200,3291-148286766-148286965-VCU-016-MER-AU-14-641-16042012-15042013-0,,2020-05-21,Meridian Energy Australia,NCOS Programme,Offsets retired for Meridian Energy Australia organisation accreditation
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",125,3291-148271693-148271817-VCU-016-MER-AU-14-641-16042012-15042013-0,,2017-06-23,,,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",855,3291-148271818-148272672-VCU-016-MER-AU-14-641-16042012-15042013-0,,2020-05-21,Meridian Energy Australia,NCOS Programme,Offsets retired for Meridian Energy Australia organisation accreditation
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",20,3291-148257764-148257783-VCU-016-MER-AU-14-641-16042012-15042013-0,,2020-05-21,Meridian Energy Australia,NCOS Programme,Offsets retired for Meridian Energy Australia organisation accreditation
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",175,3291-148278884-148279058-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-03-01,,,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,309",3291-148259721-148261029-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-03-01,,,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,000",3291-148257784-148258783-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-03-07,,,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",200,3291-148279059-148279258-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-06-16,Pangolin,Retirement for Person or Organization,Retired on behalf of Trinity College student offsetting program 2018
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",6,3291-148261030-148261035-VCU-016-MER-AU-14-641-16042012-15042013-0,,2020-04-17,Pangolin,Retirement for Person or Organization,Retired on behalf of Foomann Architects for CY2019 Emissions
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",2,3291-148258784-148258785-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-04-11,,,
